48000,46506,0
48000,46933,29333
48000,46933,29413
48000,47360,29786
48000,47786,30213
64000,63573,44800
64000,65280,35733
64000,64853,36800
64000,64853,36266
80000,79360,36800
80000,78506,56826
80000,83626,55786
80000,81493,45866
80000,81493,45333
96000,97706,52800
96000,97131,51200
96000,96853,52800
96000,97681,53333
112000,106420,95586
112000,114773,57813
112000,111950,60396
112000,114346,60986
112000,114536,64400
128000,128410,59200
128000,124586,96320
128000,129280,94186
128000,128426,533
128000,128426,92896
128000,127573,92286
128000,128131,613
144000,145920,100596
144000,141226,106506
144000,146346,106853
144000,145920,105083
144000,146346,108453
144000,145920,109470
160000,154880,112750
160000,159925,112003
160000,162986,114916
160000,163413,112500
160000,162133,112430
160000,162560,111970
176000,184320,117203
176000,179901,122933
176000,177920,117070
176000,177493,118280
176000,176640,123716
192000,195840,127453
192000,193201,127573
192000,192880,126666
192000,194133,128003
192000,193280,130466
208000,207786,135003
208000,211200,140186
208000,212480,138730
208000,213308,137503
208000,212053,142676
208000,212480,137640
224000,221013,195976
224000,224506,213
224000,224426,151026
224000,223193,149106
224000,224853,1466
240000,240213,135146
240000,229546,346
240000,236373,156823
240000,240640,153416
240000,244480,533
256000,257280,157706
256000,246186,161743
256000,254720,154673
256000,251306,266
256000,252160,160923
272000,259540,213
272000,266666,166690
272000,276480,169836
272000,275626,880
272000,281173,173326
288000,286720,1730
288000,300800,177096
288000,295253,177410
288000,293546,178116
288000,293973,746
304000,288853,177540
304000,300638,613
304000,314880,191050
304000,307200,191950
320000,329590,179076
320000,332531,1813
320000,327253,187950
320000,318293,183770
320000,329386,880
320000,327680,190810
336000,340053,189646
336000,330240,1946
336000,328265,195633
336000,342400,198720
336000,346453,204406
336000,343040,199653
352000,346026,238253
352000,345020,194043
352000,350951,200953
352000,358826,202833
368000,353706,199300
368000,378880,1253
368000,369066,214200
384000,365445,4266
384000,384853,195856
384000,366506,206686
384000,378026,201423
384000,378026,214830
400000,401493,213176
400000,380615,218653
400000,407040,207083
400000,384000,220120
416000,434336,195766
416000,413440,215883
416000,410026,1813
416000,398506,218513
432000,432295,1680
432000,451840,219076
432000,442761,216786
432000,438613,205326
448000,431360,231866
448000,439840,1546
448000,460800,209923
448000,440791,223273
464000,448000,223450
464000,476160,1306
480000,461760,4266
480000,469760,232393
480000,501613,233360
480000,493226,230290
496000,497920,219643
496000,514986,1253
496000,515413,237896
496000,507733,243713
512000,490245,4266
512000,512426,202483
512000,526080,228270
512000,507095,3916
512000,511146,234986
528000,535040,1253
528000,527786,218203
528000,532480,1253
528000,535893,230626
528000,516811,233326
544000,517906,236900
544000,552106,228343
544000,560750,1280
544000,564053,237800
544000,568163,232880
560000,585796,237210
576000,568320,234696
576000,589748,234570
576000,595200,231556
608000,606293,235170
608000,627161,229390
