400384,399712,704,400416,394746,0,394746,394746
408064,407367,732,408099,402375,85,402460,402287
414208,413534,710,414244,408397,234,408631,408158
421632,420893,783,421676,415743,173,415916,415566
428800,428111,731,428842,422883,0,422883,422883
435968,435232,775,436007,429819,233,430052,429581
443648,442836,860,443696,437400,0,437400,437400
450304,449460,891,450351,443971,1,443972,443969
458240,457331,957,458288,451657,0,451657,451657
464896,464090,854,464944,458405,0,458405,458405
472832,471986,893,472879,466126,0,466126,466126
481280,480361,966,481327,474518,0,474518,474518
489216,488366,905,489271,482390,0,482390,482390
497664,496791,926,497717,490721,0,490721,490721
506368,505574,850,506424,499323,0,499323,499323
515584,514713,927,515640,508428,173,508601,508251
523264,522368,947,523315,515936,230,516166,515700
532992,532085,970,533055,525448,0,525448,525448
540928,539790,1193,540983,533046,750,533796,532283
550144,549128,1075,550203,542370,368,542738,541993
559616,558635,1043,559678,551709,391,552100,551307
568832,567891,998,568889,560940,318,561258,560614
577536,576518,1079,577597,569351,0,569351,569328
587520,586567,1011,587578,579304,250,579554,579048
596224,595116,1186,596302,587774,152,587926,587618
607744,606710,1085,607795,599263,0,599263,599263
616960,615830,1185,617015,608274,0,608274,608274
625664,624405,1316,625721,616740,193,616933,616541
639488,638335,1218,639553,630444,426,630870,630005
648192,647048,1214,648262,639141,312,639453,638767
659712,658577,1200,659777,650413,706,651119,649690
670208,669060,1202,670262,660762,159,660921,660599
679424,678129,1365,679494,669846,139,669985,669703
692224,690921,1362,692283,682416,403,682819,682002
702208,700901,1386,702287,692208,672,692880,691518
713984,712698,1353,714051,703975,283,704258,703684
725760,724443,1402,725845,715562,699,716261,714845
738048,736691,1442,738133,727548,900,728448,726626
750848,749471,1462,750933,740239,1152,741391,739059
764416,763161,1337,764498,753710,906,754616,752780
773888,772546,1414,773960,763007,595,763602,762396
787456,785100,2433,787533,775275,4102,779377,771092
799744,798419,1413,799832,788549,513,789062,788021
813056,811255,1885,813140,801211,2242,803453,798921
824320,822832,1561,824393,812611,621,813232,811976
839936,838596,1425,840021,828260,1233,829493,826994
852224,850631,1690,852321,840144,906,841050,839214
867328,865727,1695,867422,855004,810,855814,854173
879104,877591,1589,879180,866761,1534,868295,865189
895488,893857,1710,895567,882880,479,883359,882387
908032,906014,2106,908120,894765,2707,897472,892001
922624,921003,1712,922715,909577,1352,910929,908195
935936,934410,1627,936037,922831,1909,924740,920875
951808,949999,1917,951916,938383,2397,940780,935929
965632,963921,1822,965743,952049,1774,953823,950229
981248,979524,1819,981343,967408,1686,969094,965682
996352,994511,1945,996456,982247,1507,983754,980703
1020416,1018466,2068,1020534,1005937,2112,1008049,1003775
1029632,1027780,1947,1029727,1015149,2031,1017180,1013070
1041664,1039717,2050,1041767,1026947,1876,1028823,1025028
1060608,1058610,2106,1060716,1045461,2029,1047490,1043330
1075968,1073927,2157,1076084,1060600,1190,1061790,1059383
1092096,1090075,2121,1092196,1076637,1878,1078515,1074711
1107456,1105332,2255,1107587,1091697,1981,1093678,1089666
1127936,1125333,2723,1128056,1111313,4101,1115414,1107124
1144064,1141750,2432,1144182,1127738,2792,1130530,1124882
1162752,1160495,2383,1162878,1146211,2867,1149078,1143273
1183744,1181499,2375,1183874,1166909,1216,1168125,1165610
1195008,1192792,2320,1195112,1178107,2775,1180882,1175264
1217024,1214735,2402,1217137,1199719,3389,1203108,1196248
