1006848,1004921,2018,1006939,992490,115,992605,8002,1024256
2000896,1996913,4177,2001090,1972281,2307,1974588,16084,2058752
2987520,2980657,7157,2987814,2943685,106255,3049940,23587,3019136
3967488,3952507,15316,3967823,3902782,34312,3937094,31337,4011136
5002720,5070791,112963,5183754,4990622,1662339,6652961,33561,4295808
6023232,5439737,385933,5825670,5309688,1170288,6479976,35161,4500608
7049472,6594550,457356,7051906,6439156,2340855,8780011,34905,4467840
8062976,7691522,374110,8065632,7535958,3369310,10905268,35490,4542720
8158976,7772937,388153,8161090,7614204,3472490,11086694,35287,4516736
