7985664,7539222,422753,7961975,7379887,3395822,10775709,3982477
7963904,7525693,401227,7926920,7369160,3333877,10703037,4037993
8080640,7758739,280155,8038894,7621658,4785660,12407318,2829219
8142848,7826898,246145,8073043,7696672,5385785,13082457,2308463
8076544,7616223,418912,8035135,7457424,3525133,10982557,3930954
8083968,7637071,417517,8054588,7478546,3511831,10990377,3964963
8064512,7642229,416772,8059001,7483114,3510724,10993838,3970775
8367616,7993902,330730,8324632,7843335,3773564,11616899,4068177
8298496,7983564,258947,8242511,7845328,4901732,12747060,2940868
8303104,7840333,380429,8220762,7684748,3683585,11368333,3999857
8306432,7878473,384791,8263264,7723079,3794354,11517433,3927137
8297984,7873279,386572,8259851,7718023,3796068,11514091,3920385
8305408,7913381,354571,8267952,7760071,3757260,11517331,4000791
8276480,7804433,389052,8193485,7647542,3654202,11301744,3991744
8302848,7829269,367319,8196588,7676200,3696074,11372274,3978252
