5107,0,0
5107,5056,2110
5107,5056,2089
5350,5248,2226
5350,5248,2243
5605,5440,2284
5605,5504,2281
5871,5696,2363
5871,5760,2399
6150,5952,2534
6150,5952,2503
6442,6208,2640
6442,6272,2654
6749,6464,2939
6749,6528,2808
7069,6848,2848
7069,6848,2933
7406,7104,2969
7406,7168,2929
7758,7424,3048
7758,7488,3180
8126,7744,3324
8126,7808,3479
8513,8064,3446
8513,8192,3429
8917,8448,3541
8917,8576,3690
9341,8832,3647
9341,8896,3855
9785,9216,3904
9785,9408,3923
10250,9728,4022
10250,9728,4253
10738,10112,4280
10738,10176,4294
11248,10496,4504
11248,10688,4594
11783,11008,4670
11783,11136,4693
12343,11520,4911
12343,11712,4943
12930,12160,5054
12930,12288,5155
13544,12608,5410
13544,12800,5279
14188,13120,5456
14188,13248,5693
14862,13696,5721
14862,14016,5887
15569,14464,5959
15569,14656,6025
16309,14976,6236
16309,15168,6392
17084,15616,6499
17084,16000,6785
17896,16448,7107
17896,16768,7063
18747,17216,7186
18747,17536,7370
19638,17920,7663
19638,18304,7701
20572,18688,7913
20572,19136,8108
21550,19584,8367
21550,19904,8377
22574,20480,8736
22574,20864,8853
23647,21376,8991
23647,21760,9183
24771,22272,9449
24771,22592,9687
25949,23104,9853
25949,23424,9817
27182,23936,10069
27182,24576,10258
28474,25152,10586
28474,25664,10773
29828,26240,11048
29828,26880,11391
31246,27456,11666
31246,28160,11892
32731,28736,12120
32731,29120,12265
34287,29824,12510
34287,30336,12789
35916,31040,13314
35916,31552,13259
37624,32448,13841
37624,33408,13986
39412,34112,14676
39412,34688,14505
41286,35264,14995
41286,35904,15286
43248,36544,15902
43248,37696,15844
45304,38528,16117
45304,39360,16517
47457,40000,16850
47457,40960,17256
49713,41664,18091
49713,42752,18195
52076,43520,18831
52076,44480,18595
54552,45248,19466
54552,46272,19359
57145,47040,20144
57145,48128,20390
59861,49216,20842
59861,50432,21207
62706,51328,21405
62706,52352,22019
65687,53440,22277
65687,54673,22877
68810,55470,23445
68810,56704,23869
72080,57920,24540
72080,58560,24595
75507,60224,25301
75507,61444,26081
79096,62651,26488
79096,64064,27151
82856,65088,27241
82856,66752,28373
86794,68096,28679
86794,69312,29124
90920,70144,29386
90920,71488,30062
95241,72960,30603
95241,74304,31209
99769,75648,31816
99769,76544,32068
104511,78464,32806
104511,80256,33645
109479,80896,33976
109479,82432,34605
114683,83904,35138
114683,85958,36192
120134,86969,36602
120134,89382,37490
125845,90714,38433
125845,91328,38366
131827,92160,38227
131827,95424,40121
138093,96768,40868
138093,98816,41676
144657,100032,42318
144657,102080,43067
151533,103616,43582
151533,105856,44529
158736,106880,45040
158736,109376,46002
166281,111104,46931
166281,113024,47911
174185,114432,47462
174185,115712,48651
182465,118400,49770
182465,120640,50951
191138,121600,51119
191138,123520,52281
200224,125248,53032
200224,127488,52950
209741,129472,54541
209741,132160,56047
219711,133563,55663
219711,136388,57195
230155,138496,57696
230155,141056,59206
241095,141696,59403
241095,144576,60966
252555,146880,61849
252555,148928,62617
264560,151360,62992
264560,153447,64346
277136,154904,64345
277136,157440,65604
290309,163392,68193
290309,168256,71318
304109,169920,71652
304109,176000,73962
318564,178432,74730
318564,184620,76695
333707,186132,77701
333707,190784,78499
349569,192512,79009
349569,193536,82133
366186,197504,83404
366186,204992,85434
383592,205504,85343
383592,206656,86462
401826,213824,92813
401826,210176,88210
420926,213696,91051
420926,220160,94768
440934,218176,92278
440934,238400,105105
461894,224576,93671
461894,230144,95477
483849,230208,96511
483849,236672,100097
506849,238400,99542
506849,247424,104991
530941,246784,103532
530941,253376,105439
556179,258368,108140
556179,265600,112777
582616,266752,112138
582616,274304,114110
610310,275328,115430
610310,286720,121071
639320,291200,122545
639320,302848,127639
669710,300032,126618
669710,302377,126540
701544,304276,128308
701544,310018,131663
734891,313152,132060
734891,316416,133022
769823,318528,133533
769823,324096,136850
806416,326080,136936
806416,329171,139071
844748,329388,138404
844748,336704,142978
884902,334833,140772
884902,344165,144646
926965,346921,145751
926965,347264,147446
971027,350336,147300
971027,359296,150924
1017184,360768,151659
1017184,363776,152883
1065534,364515,152357
1065534,367772,155386
1116183,368384,155113
1116183,370176,156555
1169240,371584,156551
1169240,377920,159642
1224818,382119,159350
1224818,381848,159022
1283039,378816,158242
1283039,382336,158367
