1013504,1011674,1915,1013589,999228,3227,1002455,995994
2016512,2012027,4428,2016455,1987122,5081,1992203,1982038
3030528,3023676,7197,3030873,2986128,109436,3095564,2876639
4040448,4012462,28446,4040908,3959969,101281,4061250,3858623
5140224,5125360,15411,5140771,5061192,2895795,7956987,2163281
6062336,5708597,354691,6063288,5581469,2098484,7679953,3482011
6949888,6457471,469928,6927399,6302661,2357963,8660624,3944150
8097792,7628643,417180,8045823,7469068,3457052,10926120,4010951
8357376,7933224,376465,8309689,7776488,3743002,11519490,4032169
